[24008:21264:0623/233701.767:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[24008:21516:0623/233701.964:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[24008:21264:0623/233702.005:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[8620:2360:0623/233741.468:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-69F2570263AFC18CC025AE979CCD653F will be ignored
[24008:6968:0624/002338.286:VERBOSE1:cast_socket.cc(665)] [192.168.0.114:8009, auth=SSL_VERIFIED] SetErrorState ChannelError::CONNECT_ERROR
[24008:6968:0624/002338.286:VERBOSE1:cast_socket.cc(587)] DoConnectCallback (error_state = ChannelError::CONNECT_ERROR)
[24008:6968:0624/002338.286:VERBOSE1:cast_socket.cc(627)] [192.168.0.114:8009, auth=SSL_VERIFIED] Close ReadyState = ReadyState::CONNECTING
[24008:6968:0624/002348.769:VERBOSE1:cast_socket.cc(227)] [192.168.0.114:8009, auth=SSL_VERIFIED] Connect readyState = ReadyState::NONE
[24008:6968:0624/002348.769:VERBOSE1:cast_socket.cc(391)] [192.168.0.114:8009, auth=SSL_VERIFIED] DoTcpConnect
[24008:6968:0624/002350.866:VERBOSE1:cast_socket.cc(405)] [192.168.0.114:8009, auth=SSL_VERIFIED] DoTcpConnectComplete: -102
[24008:6968:0624/002350.866:VERBOSE1:cast_socket.cc(665)] [192.168.0.114:8009, auth=SSL_VERIFIED] SetErrorState ChannelError::CONNECT_ERROR
[24008:6968:0624/002350.866:VERBOSE1:cast_socket.cc(587)] DoConnectCallback (error_state = ChannelError::CONNECT_ERROR)
[24008:6968:0624/002350.866:VERBOSE1:cast_socket.cc(627)] [192.168.0.114:8009, auth=SSL_VERIFIED] Close ReadyState = ReadyState::CONNECTING
[24008:6968:0624/002400.116:VERBOSE1:cast_socket.cc(227)] [192.168.0.114:8009, auth=SSL_VERIFIED] Connect readyState = ReadyState::NONE
[24008:6968:0624/002400.116:VERBOSE1:cast_socket.cc(391)] [192.168.0.114:8009, auth=SSL_VERIFIED] DoTcpConnect
[24008:6968:0624/002402.229:VERBOSE1:cast_socket.cc(405)] [192.168.0.114:8009, auth=SSL_VERIFIED] DoTcpConnectComplete: -102
[24008:6968:0624/002402.229:VERBOSE1:cast_socket.cc(665)] [192.168.0.114:8009, auth=SSL_VERIFIED] SetErrorState ChannelError::CONNECT_ERROR
[24008:6968:0624/002402.229:VERBOSE1:cast_socket.cc(587)] DoConnectCallback (error_state = ChannelError::CONNECT_ERROR)
[24008:6968:0624/002402.229:VERBOSE1:cast_socket.cc(627)] [192.168.0.114:8009, auth=SSL_VERIFIED] Close ReadyState = ReadyState::CONNECTING
[4196:18876:0624/002504.897:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[24008:6968:0624/002532.138:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=72})
